number	path	doc_id	page	eo_id	sec
189	../data/ddrs/316942/2.txt	316942	2	175	3.3 
190	../data/ddrs/316942/2.txt	316942	2	11652	
191	../data/ddrs/316946/11.txt	316946	11	13292	3.4  
192	../data/ddrs/316946/12.txt	316946	12	13292	3.4 
193	../data/ddrs/316946/15.txt	316946	15	13292	3.4 
194	../data/ddrs/316946/16.txt	316946	16	13292	3.4 
195	../data/ddrs/316946/17.txt	316946	17	13292	3.4 
196	../data/ddrs/316946/18.txt	316946	18	13292	3.4 
197	../data/ddrs/316946/21.txt	316946	21	13292	3.4 
198	../data/ddrs/316946/23.txt	316946	23	13292	3.4 
199	../data/ddrs/316946/24.txt	316946	24	13292	3.4, 
200	../data/ddrs/316946/26.txt	316946	26	13292	3.4 
201	../data/ddrs/316946/28.txt	316946	28	13292	3.4 
202	../data/ddrs/316946/33.txt	316946	33	13292	3.4 
203	../data/ddrs/316946/34.txt	316946	34	13292	3.4 
204	../data/ddrs/316946/36.txt	316946	36	13292	3.4 
205	../data/ddrs/316946/38.txt	316946	38	13292	3.4 
206	../data/ddrs/316946/4.txt	316946	4	13292	3.4 
207	../data/ddrs/316946/40.txt	316946	40	13292	
208	../data/ddrs/316946/44.txt	316946	44	13292	3.4 
209	../data/ddrs/316946/46.txt	316946	46	13292	3.4 
210	../data/ddrs/316946/49.txt	316946	49	13292	3.4 
211	../data/ddrs/316946/5.txt	316946	5	13292	3.4 
212	../data/ddrs/316946/51.txt	316946	51	13292	3.4 
213	../data/ddrs/316946/53.txt	316946	53	13292	3.4 
214	../data/ddrs/316946/54.txt	316946	54	13292	3.4 
215	../data/ddrs/316946/55.txt	316946	55	13292	3.4 
216	../data/ddrs/316946/56.txt	316946	56	13292	3.4 
217	../data/ddrs/316946/58.txt	316946	58	13292	3.4. 
218	../data/ddrs/316946/6.txt	316946	6	13292	3.4 
219	../data/ddrs/316946/60.txt	316946	60	13292	3.4 
220	../data/ddrs/316946/62.txt	316946	62	13292	3.4 
221	../data/ddrs/316946/63.txt	316946	63	13292	3.4  I 
222	../data/ddrs/316946/65.txt	316946	65	13292	3.4 
223	../data/ddrs/316946/66.txt	316946	66	13292	3.4 
224	../data/ddrs/316946/67.txt	316946	67	13292	3.4 
225	../data/ddrs/316946/68.txt	316946	68	13292	
226	../data/ddrs/316946/69.txt	316946	69	13292	3.4 
227	../data/ddrs/316946/71.txt	316946	71	13292	
228	../data/ddrs/316946/75.txt	316946	75	13292	3.4, 
229	../data/ddrs/316946/79.txt	316946	79	13292	3.4, 
230	../data/ddrs/316946/81.txt	316946	81	13292	3.4 
231	../data/ddrs/316946/86.txt	316946	86	13292	3 4 
232	../data/ddrs/316946/91.txt	316946	91	13292	3 4 
233	../data/ddrs/316947/10.txt	316947	10	13292	3.4, 
234	../data/ddrs/316947/11.txt	316947	11	13299	
235	../data/ddrs/316947/12.txt	316947	12	13526	3.5 
236	../data/ddrs/316947/14.txt	316947	14	13292	3.4 
237	../data/ddrs/316947/15.txt	316947	15	13292	3.4 
238	../data/ddrs/316947/16.txt	316947	16	13292	3.4 ka 
239	../data/ddrs/316947/17.txt	316947	17	13292	3.4, / 
